Title Name,Genres,Rating,Duration,Aired,Metascore,IMDb,MyRate
Долина папоротников: Последний тропический лес,"['Adventure', 'Family', 'Fantasy']",,76,20 June 1999,67.0,6.5,
Бэтмен: Убийственная шутка,"['Action', 'Crime', 'Drama', 'Thriller']",R,76,25 July 2016,,6.4,
Миньоны,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",6+,91,9 July 2015,,6.4,
Облачно... 2: Месть ГМО,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",0+,95,24 October 2013,,6.4,
Турбо,"['Adventure', 'Comedy', 'Family', 'Sci-Fi', 'Sport']",6+,96,18 July 2013,,6.4,
Лоракс,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",0+,86,15 March 2012,,6.4,
Монстры против пришельцев,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi', 'Thriller']",12+,94,19 March 2009,,6.4,
Сказания Земноморья,"['Anime', 'Adventure', 'Fantasy']",PG-13,115,29 July 2006,,6.4,
Правдивая история Красной Шапки,"['Comedy', 'Crime', 'Family', 'Musical', 'Mystery']",12+,80,2 March 2006,,6.4,
Делай ноги,"['Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",12+,108,21 December 2006,77.0,6.4,
Последняя фантазия,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-Fi']",12+,106,1 November 2001,,6.4,
Космический джем,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",6+,88,9 June 1999,,6.4,
Черный котел,"['Action', 'Adventure', 'Family', 'Fantasy']",12+,80,24 July 1985,,6.4,
Монстры на каникулах 3: Море зовёт,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,97,12 July 2018,,6.3,
Босс-молокосос,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,97,23 March 2017,,6.3,
Гадкий я 3,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",6+,89,29 June 2017,,6.3,
Гринч,"['Comedy', 'Family', 'Fantasy']",6+,85,13 December 2018,,6.3,
Рио 2,"['Adventure', 'Comedy', 'Family', 'Musical']",0+,101,20 March 2014,,6.3,
Angry Birds в кино,"['Action', 'Adventure', 'Comedy', 'Family']",6+,97,12 May 2016,,6.3,
Шрэк навсегда,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",6+,93,20 May 2010,,6.3,
Астробой,"['Action', 'Comedy', 'Family', 'Sci-Fi']",12+,94,22 October 2009,,6.3,
Роботы,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",6+,91,17 March 2005,64.0,6.3,
Покемон: Мьюту против Мью,"['Anime', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",0+,96,18 July 1998,,6.3,
Осмосис Джонс,"['Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']",PG,95,31 December 2002,,6.3,
Черепaшки-ниндзя,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",PG,87,22 March 2007,,6.2,
Беовульф,"['Action', 'Adventure', 'Fantasy']",PG-13,115,22 November 2007,,6.2,
Bлaстелин колец,"['Adventure', 'Fantasy']",,132,15 November 1978,,6.2,
Полный расколбас,"['Adventure', 'Comedy', 'Fantasy']",18+,89,8 September 2016,66.0,6.1,
Тачки 2,"['Adventure', 'Comedy', 'Family', 'Sport']",6+,106,23 June 2011,,6.1,
Приключения Десперо,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0+,93,25 December 2008,,6.1,
Шрэк Третий,"['Adventure', 'Comedy', 'Family', 'Fantasy']",6+,93,17 May 2007,,6.1,
Сезон охоты,"['Adventure', 'Comedy', 'Family', 'Fantasy']",12+,86,26 October 2006,,6.1,
Би Муви: Медовый заговор,"['Adventure', 'Comedy', 'Family']",PG,91,1 November 2007,,6.1,
Губка Боб в 3D,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",6+,92,12 February 2015,62.0,6.0,
Планета 51,"['Adventure', 'Comedy', 'Family', 'Sci-Fi']",12+,91,19 November 2009,,6.0,
